"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 23:49:26 GMT 2022","Mon Jun 27 23:49:28 GMT 2022","2432","Test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Jun 27 23:49:34 GMT 2022","Mon Jun 27 23:49:36 GMT 2022","2436","Test","test_conduit","TestConduit","","","test_paginator",""
"passed","Mon Jun 27 23:49:23 GMT 2022","Mon Jun 27 23:49:25 GMT 2022","1313","Test","test_conduit","TestConduit","","","test_registration",""
"passed","Mon Jun 27 23:50:16 GMT 2022","Mon Jun 27 23:50:20 GMT 2022","4331","Test","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 27 23:49:30 GMT 2022","Mon Jun 27 23:49:32 GMT 2022","2515","Test","test_conduit","TestConduit","","","test_listing",""
"passed","Mon Jun 27 23:49:52 GMT 2022","Mon Jun 27 23:49:59 GMT 2022","6535","Test","test_conduit","TestConduit","","","test_modifying",""
"passed","Mon Jun 27 23:50:00 GMT 2022","Mon Jun 27 23:50:04 GMT 2022","4318","Test","test_conduit","TestConduit","","","test_save_data",""
"passed","Mon Jun 27 23:49:44 GMT 2022","Mon Jun 27 23:49:51 GMT 2022","6557","Test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Mon Jun 27 23:49:19 GMT 2022","Mon Jun 27 23:49:22 GMT 2022","2205","Test","test_conduit","TestConduit","","","test_cookie_accept",""
"passed","Mon Jun 27 23:50:06 GMT 2022","Mon Jun 27 23:50:14 GMT 2022","8352","Test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Mon Jun 27 23:49:38 GMT 2022","Mon Jun 27 23:49:43 GMT 2022","4738","Test","test_conduit","TestConduit","","","test_new_article",""
