"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 18:34:52 GMT 2022","Wed Jun 29 18:34:59 GMT 2022","6548","Test","test_conduit","TestConduit","","","test_modifying",""
"passed","Wed Jun 29 18:34:34 GMT 2022","Wed Jun 29 18:34:37 GMT 2022","2429","Test","test_conduit","TestConduit","","","test_paginator",""
"passed","Wed Jun 29 18:34:44 GMT 2022","Wed Jun 29 18:34:51 GMT 2022","6581","Test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 29 18:34:26 GMT 2022","Wed Jun 29 18:34:29 GMT 2022","2309","Test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 29 18:34:20 GMT 2022","Wed Jun 29 18:34:22 GMT 2022","2103","Test","test_conduit","TestConduit","","","test_cookie_accept",""
"passed","Wed Jun 29 18:34:30 GMT 2022","Wed Jun 29 18:34:33 GMT 2022","2508","Test","test_conduit","TestConduit","","","test_listing",""
"passed","Wed Jun 29 18:35:01 GMT 2022","Wed Jun 29 18:35:05 GMT 2022","4341","Test","test_conduit","TestConduit","","","test_save_data",""
"passed","Wed Jun 29 18:34:24 GMT 2022","Wed Jun 29 18:34:25 GMT 2022","1298","Test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 29 18:35:16 GMT 2022","Wed Jun 29 18:35:21 GMT 2022","4318","Test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 29 18:35:06 GMT 2022","Wed Jun 29 18:35:15 GMT 2022","8376","Test","test_conduit","TestConduit","","","test_delete_data",""
"passed","Wed Jun 29 18:34:38 GMT 2022","Wed Jun 29 18:34:43 GMT 2022","4758","Test","test_conduit","TestConduit","","","test_new_article",""
